filename,currentPosX,currentPosY,currentDeg,targetPosX,targetPosY
JULY15_THREEWALLS.csv,50,812,0,300,400
,50,717,0,395,400
,50,622,0,490,400
,50,527,0,585,400
,50,432,0,300,485
,50,337,0,395,485
,50,242,0,490,485
,50,147,0,585,485
,97,50,0,300,570
,192,50,0,395,570
,287,50,0,490,570
,382,50,0,585,570
,477,50,0,300,655
,572,50,0,395,655
,667,50,0,490,655
,762,50,0,585,655
,862,145,0,300,740
,862,240,0,395,740
,862,335,0,490,740
,862,430,0,585,740
,862,525,0,300,825
,862,620,0,395,825
,862,715,0,490,825
,862,810,0,585,825
