filename,currentPosX,currentPosY,currentDeg,targetPosX,targetPosY
JULY12-THREEWALLS.csv,50,812,0,320,200
,50,742,0,320,270
,50,672,0,320,340
,50,602,0,320,410
,50,532,0,320,480
,50,462,0,320,200
,50,392,0,390,270
,50,322,0,390,340
,50,252,0,390,410
,50,182,0,390,480
,50,750,0,390,200
,50,820,0,390,270
,50,890,0,460,340
,50,960,0,460,410
,50,1030,0,460,480
,50,1100,0,460,200
,50,1170,0,460,270
,50,1240,0,460,340
,50,1310,0,530,410
,50,1380,0,530,480
,50,1450,0,530,200
,50,1520,0,530,270
,50,1590,0,530,340
,50,1660,0,530,410
,50,1730,0,600,480
,50,1800,0,600,200
,50,1870,0,600,270
,50,1940,0,600,340
,50,2010,0,600,410
,50,2080,0,600,480
