,Timestamp,toio_ID,from_x,from_y,from_degree,action,to_x,to_y,to_degree
0,0,0,50,812,0.0,moveForward,50,810,0.0
1,0,1,50,717,0.0,rotateTo,50,717,180.0
2,0,1,50,717,180.0,moveForward,50,720,180.0
3,0,2,50,622,0.0,moveForward,50,620,0.0
4,0,3,50,527,0.0,rotateTo,50,527,180.0
5,0,3,50,527,180.0,moveForward,50,530,180.0
6,0,4,50,432,0.0,moveForward,50,430,0.0
7,0,5,50,337,0.0,rotateTo,50,337,180.0
8,0,5,50,337,180.0,moveForward,50,340,180.0
9,0,6,50,242,0.0,moveForward,50,240,0.0
10,0,7,50,147,0.0,rotateTo,50,147,180.0
11,0,7,50,147,180.0,moveForward,50,150,180.0
12,0,8,97,50,0.0,rotateTo,97,50,90.0
13,0,8,97,50,90.0,moveForward,100,50,90.0
14,0,9,192,50,0.0,rotateTo,192,50,270.0
15,0,9,192,50,270.0,moveForward,190,50,270.0
16,0,10,287,50,0.0,rotateTo,287,50,90.0
17,0,10,287,50,90.0,moveForward,290,50,90.0
18,0,11,382,50,0.0,rotateTo,382,50,270.0
19,0,11,382,50,270.0,moveForward,380,50,270.0
20,0,12,477,50,0.0,rotateTo,477,50,90.0
21,0,12,477,50,90.0,moveForward,480,50,90.0
22,0,13,572,50,0.0,rotateTo,572,50,270.0
23,0,13,572,50,270.0,moveForward,570,50,270.0
24,0,14,667,50,0.0,rotateTo,667,50,90.0
25,0,14,667,50,90.0,moveForward,670,50,90.0
26,0,15,762,50,0.0,rotateTo,762,50,270.0
27,0,15,762,50,270.0,moveForward,760,50,270.0
28,0,16,862,145,0.0,rotateTo,862,145,338.1985905136482
29,0,16,862,145,338.1985905136482,moveForward,860,140,338.1985905136482
30,0,17,862,240,0.0,rotateTo,862,240,270.0
31,0,17,862,240,270.0,moveForward,860,240,270.0
32,0,18,862,335,0.0,rotateTo,862,335,201.80140948635182
33,0,18,862,335,201.80140948635182,moveForward,860,340,201.80140948635182
34,0,19,862,430,0.0,rotateTo,862,430,270.0
35,0,19,862,430,270.0,moveForward,860,430,270.0
36,0,20,862,525,0.0,rotateTo,862,525,338.1985905136482
37,0,20,862,525,338.1985905136482,moveForward,860,520,338.1985905136482
38,0,21,862,620,0.0,rotateTo,862,620,270.0
39,0,21,862,620,270.0,moveForward,860,620,270.0
40,0,22,862,715,0.0,rotateTo,862,715,201.80140948635182
41,0,22,862,715,201.80140948635182,moveForward,860,720,201.80140948635182
42,0,23,862,810,0.0,rotateTo,862,810,270.0
43,0,23,862,810,270.0,moveForward,860,810,270.0
44,1,0,50,810,0.0,moveForward,50,800,0.0
45,1,1,50,720,180.0,rotateTo,50,720,0.0
46,1,1,50,720,0.0,moveForward,50,710,0.0
47,1,2,50,620,0.0,moveForward,50,610,0.0
48,1,3,50,530,180.0,rotateTo,50,530,0.0
49,1,3,50,530,0.0,moveForward,50,520,0.0
50,1,4,50,430,0.0,rotateTo,50,430,180.0
51,1,4,50,430,180.0,moveForward,50,440,180.0
52,1,5,50,340,180.0,moveForward,50,350,180.0
53,1,6,50,240,0.0,rotateTo,50,240,90.0
54,1,6,50,240,90.0,moveForward,60,240,90.0
55,1,7,50,150,180.0,moveForward,50,160,180.0
56,1,8,100,50,90.0,rotateTo,100,50,180.0
57,1,8,100,50,180.0,moveForward,100,60,180.0
58,1,9,190,50,270.0,rotateTo,190,50,180.0
59,1,9,190,50,180.0,moveForward,190,60,180.0
60,1,10,290,50,90.0,rotateTo,290,50,180.0
61,1,10,290,50,180.0,moveForward,290,60,180.0
62,1,11,380,50,270.0,rotateTo,380,50,180.0
63,1,11,380,50,180.0,moveForward,380,60,180.0
64,1,12,480,50,90.0,rotateTo,480,50,270.0
65,1,12,480,50,270.0,moveForward,470,50,270.0
66,1,13,570,50,270.0,moveForward,560,50,270.0
67,1,14,670,50,90.0,rotateTo,670,50,180.0
68,1,14,670,50,180.0,moveForward,670,60,180.0
69,1,15,760,50,270.0,rotateTo,760,50,180.0
70,1,15,760,50,180.0,moveForward,760,60,180.0
71,1,16,860,140,338.1985905136482,rotateTo,860,140,270.0
72,1,16,860,140,270.0,moveForward,850,140,270.0
73,1,17,860,240,270.0,moveForward,850,240,270.0
74,1,18,860,340,201.80140948635182,rotateTo,860,340,270.0
75,1,18,860,340,270.0,moveForward,850,340,270.0
76,1,19,860,430,270.0,moveForward,850,430,270.0
77,1,20,860,520,338.1985905136482,rotateTo,860,520,180.0
78,1,20,860,520,180.0,moveForward,860,530,180.0
79,1,21,860,620,270.0,moveForward,850,620,270.0
80,1,22,860,720,201.80140948635182,rotateTo,860,720,270.0
81,1,22,860,720,270.0,moveForward,850,720,270.0
82,1,23,860,810,270.0,moveForward,850,810,270.0
83,2,0,50,800,0.0,moveForward,50,790,0.0
84,2,1,50,710,0.0,moveForward,50,700,0.0
85,2,2,50,610,0.0,moveForward,50,600,0.0
86,2,3,50,520,0.0,moveForward,50,510,0.0
87,2,4,50,440,180.0,moveForward,50,450,180.0
88,2,5,50,350,180.0,moveForward,50,360,180.0
89,2,6,60,240,90.0,moveForward,70,240,90.0
90,2,7,50,160,180.0,moveForward,50,170,180.0
91,2,8,100,60,180.0,moveForward,100,70,180.0
92,2,9,190,60,180.0,moveForward,190,70,180.0
93,2,10,290,60,180.0,moveForward,290,70,180.0
94,2,11,380,60,180.0,moveForward,380,70,180.0
95,2,12,470,50,270.0,moveForward,460,50,270.0
96,2,13,560,50,270.0,moveForward,550,50,270.0
97,2,14,670,60,180.0,moveForward,670,70,180.0
98,2,15,760,60,180.0,moveForward,760,70,180.0
99,2,16,850,140,270.0,moveForward,840,140,270.0
100,2,17,850,240,270.0,moveForward,840,240,270.0
101,2,18,850,340,270.0,moveForward,840,340,270.0
102,2,19,850,430,270.0,moveForward,840,430,270.0
103,2,20,860,530,180.0,moveForward,860,540,180.0
104,2,21,850,620,270.0,moveForward,840,620,270.0
105,2,22,850,720,270.0,moveForward,840,720,270.0
106,2,23,850,810,270.0,moveForward,840,810,270.0
107,3,0,50,790,0.0,moveForward,50,780,0.0
108,3,1,50,700,0.0,moveForward,50,690,0.0
109,3,2,50,600,0.0,moveForward,50,590,0.0
110,3,3,50,510,0.0,rotateTo,50,510,270.0
111,3,3,50,510,270.0,moveForward,40,510,270.0
112,3,4,50,450,180.0,moveForward,50,460,180.0
113,3,5,50,360,180.0,moveForward,50,370,180.0
114,3,6,70,240,90.0,moveForward,80,240,90.0
115,3,7,50,170,180.0,moveForward,50,180,180.0
116,3,8,100,70,180.0,moveForward,100,80,180.0
117,3,9,190,70,180.0,moveForward,190,80,180.0
118,3,10,290,70,180.0,moveForward,290,80,180.0
119,3,11,380,70,180.0,moveForward,380,80,180.0
120,3,12,460,50,270.0,rotateTo,460,50,180.0
121,3,12,460,50,180.0,moveForward,460,60,180.0
122,3,13,550,50,270.0,moveForward,540,50,270.0
123,3,14,670,70,180.0,moveForward,670,80,180.0
124,3,15,760,70,180.0,moveForward,760,80,180.0
125,3,16,840,140,270.0,moveForward,830,140,270.0
126,3,17,840,240,270.0,moveForward,830,240,270.0
127,3,18,840,340,270.0,moveForward,830,340,270.0
128,3,19,840,430,270.0,moveForward,830,430,270.0
129,3,20,860,540,180.0,moveForward,860,550,180.0
130,3,21,840,620,270.0,moveForward,830,620,270.0
131,3,22,840,720,270.0,moveForward,830,720,270.0
132,3,23,840,810,270.0,moveForward,830,810,270.0
133,4,0,50,780,0.0,moveForward,50,770,0.0
134,4,1,50,690,0.0,moveForward,50,680,0.0
135,4,2,50,590,0.0,moveForward,50,580,0.0
136,4,3,40,510,270.0,moveForward,30,510,270.0
137,4,4,50,460,180.0,moveForward,50,470,180.0
138,4,5,50,370,180.0,moveForward,50,380,180.0
139,4,6,80,240,90.0,moveForward,90,240,90.0
140,4,7,50,180,180.0,moveForward,50,190,180.0
141,4,8,100,80,180.0,moveForward,100,90,180.0
142,4,9,190,80,180.0,moveForward,190,90,180.0
143,4,10,290,80,180.0,moveForward,290,90,180.0
144,4,11,380,80,180.0,moveForward,380,90,180.0
145,4,12,460,60,180.0,moveForward,460,70,180.0
146,4,13,540,50,270.0,moveForward,530,50,270.0
