currentPosX,currentPosY,targetPosX,targetPosY
50,700,770,816
43,623,560,674
49,518,726,732
41,376,540,821
43,245,449,571
47,161,680,801
456,123,398,800
575,103,478,751
708,103,229,660
115,115,369,707
190,115,566,758
265,115,644,594
340,115,282,781
415,115,415,526
490,115,490,526
565,115,565,526
40,190,40,601
115,190,115,601
190,190,190,601
265,190,265,601
340,190,340,601
415,190,415,601
490,190,490,601
565,190,565,601
40,265,40,676
115,265,115,676
190,265,190,676
265,265,265,676
340,265,340,676
415,265,415,676
