stageWidth,stageDepth,UnderStage,3DP,_3DPrinterPosX,_3DPrinterPosY,_3DPrinterDir,wallPointNum,wallPointX,wallPointY,portalWallNum,portalWallVecX,portalWallVecY,portalWallFrontPointX,portalWallFrontPointY,portalWallBackPointX,portalWallBackPointY,portalWallEdgeLX,portalWallEdgeLY,portalWallEdgeRX,portalWallEdgeRY,portalWallatWallNum,portalWallWidth,portalWallAS,under_wallPointNum,under_wallPointX,under_wallPointY,portalFloorNum,portalFloorX,portalFloorY,portalFloorFrontPointX,portalFloorFrontPointY,portalFloorBackPointX,portalFloorBackPointY,portalFloorType,portalFloorAS,portalFloorSlopeDir,pillarNum,pillarX,pillarY
608,430,0,0,0,0,1,6,125.4,249.98,4,182.49895,293.84012,170.31558,309.70093,194.68231,277.9793,158.70772,275.56506,206.29018,312.11517,0,60,0,0,,,0,,,,,,,,,,0,,
,,,,,,,,245.1,341.92667,,389.0038,305.0261,408.98196,305.96082,369.02567,304.09137,387.60175,334.99332,390.40588,275.05887,2,60,0,,,,,,,,,,,,,,,,
,,,,,,,,381.9,456.86,,310.94556,397.2472,298.08032,412.56012,323.8108,381.93427,287.97617,377.94934,333.91495,416.54504,1,60,0,,,,,,,,,,,,,,,,
,,,,,,,,396.15,152.28667,,333.24927,126.450645,340.84808,107.95044,325.65045,144.95085,360.99957,137.84889,305.49896,115.0524,3,60,0,,,,,,,,,,,,,,,,
,,,,,,,,242.25,89.07333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,313.5,224.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
