stageWidth,stageDepth,UnderStage,3DP,_3DPrinterPosX,_3DPrinterPosY,_3DPrinterDir,wallPointNum,wallPointX,wallPointY,portalWallNum,portalWallVecX,portalWallVecY,portalWallFrontPointX,portalWallFrontPointY,portalWallBackPointX,portalWallBackPointY,portalWallEdgeLX,portalWallEdgeLY,portalWallEdgeRX,portalWallEdgeRY,portalWallatWallNum,portalWallWidth,portalWallAS,under_wallPointNum,under_wallPointX,under_wallPointY,portalFloorNum,portalFloorX,portalFloorY,portalFloorFrontPointX,portalFloorFrontPointY,portalFloorBackPointX,portalFloorBackPointY,portalFloorType,portalFloorAS,portalFloorSlopeDir,pillarNum,pillarX,pillarY
608,430,1,0,0,0,1,0,,,0,,,,,,,,,,,,,,5,17.1,17.24,9,87.0,87.0,38.0,86.99999,237.0,87.00002,0,0,4,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,592.8,17.24,,303.0,87.0,0.0,0.0,0.0,0.0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,592.8,413.75998,,521.0,87.0,570.0,87.0,371.0,86.999985,0,0,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,17.1,413.75998,,87.0,215.0,38.0,215.0,237.0,215.00003,0,0,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,17.1,31.606665,,303.0,215.0,303.0,264.0,303.0,65.0,0,0,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.0,215.0,570.0,215.0,371.0,214.99998,0,0,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,341.0,38.0,341.0,237.0,341.00003,0,0,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,341.0,0.0,0.0,0.0,0.0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.0,341.0,570.0,341.0,371.0,341.0,0,0,2,,,
