Large_X,Large_Y,Small_0X,Small_0Y,Small_1X,Small_1Y,Small_2X,Small_2Y
612,217,607,212,607,212,607,212
617,222,607,212,607,212,607,212
622,227,607,212,607,212,607,212
627,232,607,212,607,212,607,212
632,237,607,212,607,212,607,212
637,242,607,212,607,212,607,212
642,247,607,212,607,212,607,212
647,252,607,212,607,212,607,212
652,257,607,212,607,212,607,212
657,262,607,212,607,212,607,212
662,267,607,212,607,212,607,212
667,272,607,212,607,212,607,212
672,277,607,212,607,212,607,212
677,282,607,212,607,212,607,212
682,287,607,212,607,212,607,212
687,292,607,212,607,212,607,212
692,297,607,212,607,212,607,212
697,302,607,212,607,212,607,212
702,307,607,212,607,212,607,212
707,312,607,212,607,212,607,212
712,317,607,212,607,212,607,212
717,322,607,212,607,212,607,212
722,327,607,212,607,212,607,212
727,332,607,212,607,212,607,212
732,337,607,212,607,212,607,212
737,342,607,212,607,212,607,212
742,347,607,212,607,212,607,212
747,352,607,212,607,212,607,212
752,357,607,212,607,212,607,212
757,362,607,212,607,212,607,212
762,367,607,212,607,212,607,212
767,372,607,212,607,212,607,212
772,377,607,212,607,212,607,212
777,382,607,212,607,212,607,212
782,387,607,212,607,212,607,212
787,392,607,212,607,212,607,212
792,397,607,212,607,212,607,212
797,392,607,212,607,212,607,212
802,387,607,212,607,212,607,212
807,382,607,212,607,212,607,212
812,377,607,212,607,212,607,212
817,372,607,212,607,212,607,212
822,367,607,212,607,212,607,212
827,362,607,212,607,212,607,212
832,357,607,212,607,212,607,212
837,352,607,212,607,212,607,212
842,347,607,212,607,212,607,212
847,342,607,212,607,212,607,212
852,337,607,212,607,212,607,212
857,332,607,212,607,212,607,212
862,327,607,212,607,212,607,212
867,322,607,212,607,212,607,212
872,317,607,212,607,212,607,212
877,312,607,212,607,212,607,212
882,307,607,212,607,212,607,212
887,302,607,212,607,212,607,212
892,297,607,212,607,212,607,212
897,292,607,212,607,212,607,212
902,287,607,212,607,212,607,212
907,282,607,212,607,212,607,212
912,277,607,212,607,212,607,212
917,272,607,212,607,212,607,212
922,267,607,212,607,212,607,212
927,262,607,212,607,212,607,212
932,257,607,212,607,212,607,212
937,252,607,212,607,212,607,212
942,247,607,212,607,212,607,212
947,242,607,212,607,212,607,212
952,237,607,212,607,212,607,212
957,232,607,212,607,212,607,212
962,227,607,212,607,212,607,212
967,222,607,212,607,212,607,212
972,217,607,212,607,212,607,212
977,212,607,212,607,212,607,212
982,207,607,212,607,212,607,212
987,202,607,212,607,212,607,212
992,197,607,212,607,212,607,212
997,192,607,212,607,212,607,212
1002,187,607,212,607,212,607,212
